Gene	Median Rank	Full Ranks
LCP1	2665.5	[2286, 2235, 3908, 2401, 3885, 2554, 1791, 3526, 2108, 4675, 3928, 4397, 3823, 4758, 4813, 1880, 1955, 3005, 2778, 4866, 2441, 2459, 3037, 2473, 2831, 1075, 1438, 3311, 1934, 3310, 4546, 2676, 517, 833, 1832, 2773, 3828, 735, 2490, 2631, 3873, 2443, 3822, 2125, 3476, 5307, 2900, 2648, 1981, 3922, 3135, 5025, 2100, 4039, 2898, 1743, 5446, 2316, 2617, 2186, 1695, 4577, 5371, 2346, 5004, 1151, 1720, 2833, 4457, 1739, 3924, 4583, 755, 1733, 4052, 1626, 5372, 1989, 5410, 3497, 2496, 739, 4296, 4037, 4074, 949, 1602, 4403, 1268, 5034, 2449, 2269, 1891, 3177, 1478, 3387, 2058, 5314, 1596, 2655]
PZP	2665.5	[5761, 3705, 1311, 4656, 403, 6460, 4899, 1393, 1831, 2788, 431, 1562, 2912, 2707, 3846, 3064, 1782, 2585, 788, 208, 2453, 2577, 5121, 3895, 6153, 4677, 479, 440, 5818, 4252, 97, 1772, 5253, 6070, 113, 3697, 2624, 229, 2206, 5779, 6366, 5981, 4151, 5483, 6377, 1571, 651, 3960, 813, 315, 2381, 5936, 833, 4578, 3131, 3071, 341, 1828, 1873, 6083, 5328, 110, 704, 3617, 110, 992, 2964, 68, 4694, 1951, 5713, 5495, 921, 449, 79, 4607, 5573, 5393, 5831, 2323, 6303, 5862, 3174, 442, 3602, 5569, 979, 3040, 1040, 511, 526, 1872, 4898, 1753, 5860, 3522, 127, 1006, 595, 1978]
ERBB2	2704.0	[3745, 1172, 3105, 2127, 740, 1866, 2513, 2777, 2284, 1203, 1298, 3308, 1350, 744, 830, 5670, 1947, 4648, 3435, 5211, 3957, 3689, 2720, 1698, 1583, 3822, 2281, 2246, 4762, 3257, 4313, 3957, 3172, 5931, 5164, 2492, 2541, 1474, 3916, 1207, 1782, 3029, 3484, 3353, 2387, 1035, 3755, 471, 4120, 3447, 4775, 3656, 4951, 2384, 2564, 2505, 2837, 2565, 3367, 1641, 2836, 2176, 1705, 4381, 1525, 1477, 1640, 2688, 4211, 1935, 4034, 1975, 3021, 4380, 5034, 1348, 3155, 4261, 4115, 5247, 3256, 2168, 2862, 3676, 738, 2145, 1002, 2295, 2956, 4157, 1536, 3714, 2428, 2670, 1994, 1809, 2497, 2148, 2769, 2740]
REC8	2715.0	[2867, 884, 3342, 1506, 1944, 229, 832, 3375, 3552, 3367, 2904, 5700, 663, 5275, 4390, 2324, 5761, 417, 1121, 5426, 5776, 2747, 3366, 2844, 700, 3412, 2577, 2153, 3498, 5867, 2993, 892, 2949, 3542, 772, 1004, 1391, 2699, 273, 177, 1559, 411, 2813, 1758, 4921, 1250, 240, 3260, 3805, 2340, 5308, 2425, 2018, 2849, 253, 1540, 6321, 1482, 922, 2888, 5194, 5738, 4199, 992, 4806, 528, 3215, 4135, 196, 4726, 3485, 769, 2522, 1331, 4745, 2087, 4793, 745, 3430, 4964, 4083, 4845, 946, 1302, 6346, 2282, 2731, 129, 386, 511, 5176, 291, 2408, 5118, 1950, 361, 1277, 5560, 2983, 4161]
SLC1A1	2747.0	[3061, 3925, 4387, 4738, 4923, 3074, 2196, 4528, 660, 1735, 2858, 449, 882, 5552, 2657, 3114, 3796, 1831, 4057, 4638, 3411, 1790, 2217, 782, 349, 2462, 1801, 5106, 2704, 2809, 3695, 4758, 1023, 2382, 3851, 2517, 2974, 1379, 1483, 3224, 1142, 3109, 1678, 2260, 4606, 5172, 5645, 2793, 3841, 1096, 1491, 3075, 2983, 2460, 4343, 2434, 3598, 2893, 1491, 175, 1335, 1695, 997, 3070, 2600, 951, 1924, 297, 1525, 1995, 2508, 1513, 3601, 4125, 3016, 2790, 3462, 5143, 5045, 5791, 3895, 1622, 2580, 5933, 4699, 561, 1953, 5696, 1101, 4317, 1794, 1078, 531, 1945, 4904, 4845, 4401, 3922, 940, 2384]
TFF3	2753.5	[554, 3020, 4306, 1690, 1043, 4511, 3769, 2719, 4639, 5286, 2125, 1953, 2258, 3518, 2839, 1456, 2805, 4535, 2816, 1538, 2982, 1966, 232, 3696, 584, 2462, 2671, 1851, 4125, 1683, 4117, 1888, 1021, 2650, 5024, 4015, 4002, 3608, 1574, 1331, 3790, 2221, 4262, 5070, 1568, 1471, 4892, 3550, 5613, 2577, 1073, 3451, 3453, 2323, 2232, 2959, 1012, 3245, 4707, 1107, 3965, 3729, 2888, 5293, 1631, 711, 3080, 2337, 4317, 4843, 3050, 1354, 4160, 1380, 2681, 2121, 5477, 2788, 857, 2273, 2840, 875, 5531, 1579, 3182, 2014, 1239, 688, 1666, 1688, 2657, 5246, 4846, 4194, 2491, 5688, 1907, 5079, 4376, 2344]
KRT1	2791.5	[755, 165, 6037, 212, 3249, 5649, 879, 4656, 1891, 875, 609, 4050, 1712, 4081, 4586, 3096, 4901, 1710, 3525, 897, 3080, 5864, 151, 966, 2776, 1006, 2609, 1212, 1424, 5029, 3987, 3202, 1549, 1378, 5741, 4963, 5548, 3155, 3124, 5487, 6157, 2017, 1315, 3860, 5124, 5975, 3855, 874, 602, 1084, 1380, 3479, 4774, 643, 2180, 313, 5294, 2971, 223, 166, 3750, 3452, 4012, 994, 5290, 76, 209, 6151, 3003, 717, 2093, 5534, 3570, 2803, 4123, 1646, 2383, 2806, 2177, 5785, 2199, 1935, 4987, 1774, 4521, 3153, 3643, 2362, 4111, 4187, 634, 2271, 153, 846, 4932, 4126, 424, 491, 187, 2780]
OR2S2	2796.5	[2521, 2407, 3910, 4439, 95, 4957, 918, 4221, 3819, 1033, 6086, 5108, 374, 713, 778, 824, 6464, 1981, 6409, 356, 2677, 167, 3088, 3327, 6382, 414, 5495, 6367, 6395, 1661, 426, 2727, 1202, 5176, 6250, 5731, 175, 5930, 184, 720, 82, 189, 99, 5700, 2720, 2110, 2459, 6259, 3009, 3692, 6208, 1244, 5169, 6394, 3080, 5880, 852, 124, 891, 6018, 762, 6465, 1591, 373, 2041, 4553, 2226, 1405, 4831, 5533, 981, 6181, 607, 113, 410, 1240, 94, 160, 6314, 4814, 6435, 6363, 2081, 257, 6386, 2866, 6327, 717, 6451, 6443, 5040, 6446, 6331, 977, 6065, 1005, 6369, 40, 6305, 6410]
CYP2C8	2811.5	[2240, 4145, 5952, 2255, 1179, 3441, 1577, 5607, 5007, 5570, 6035, 4407, 1155, 2168, 6306, 1240, 5641, 2334, 608, 461, 1980, 2171, 1156, 269, 2008, 375, 3429, 706, 3633, 943, 744, 675, 340, 3769, 3872, 1419, 6061, 4444, 4097, 2139, 269, 1629, 4591, 3327, 5658, 4148, 403, 591, 4235, 4368, 2786, 2226, 1030, 1810, 675, 5600, 3417, 2677, 2837, 1269, 3224, 5243, 5305, 6080, 871, 3781, 6143, 4586, 4980, 1034, 3450, 2697, 4569, 5733, 2540, 5947, 372, 2156, 2336, 6228, 3100, 965, 3897, 5007, 381, 3614, 4601, 1378, 2694, 4062, 6124, 3173, 5807, 465, 1356, 1008, 5552, 2574, 5506, 1397]
ICAM2	2825.0	[2715, 2293, 5047, 5607, 3112, 2559, 1323, 2580, 3883, 2611, 5458, 4817, 2133, 5032, 1419, 2287, 5690, 4800, 509, 3872, 1154, 1650, 1958, 3691, 1944, 4045, 2200, 5558, 975, 3591, 2605, 2583, 738, 1432, 1988, 2445, 5968, 5004, 5183, 2738, 1892, 796, 4603, 1826, 481, 2746, 1333, 4351, 4777, 3971, 3615, 1908, 3529, 265, 5231, 987, 5086, 1512, 3632, 4330, 2119, 1553, 2816, 4967, 3847, 4430, 4039, 3905, 5784, 2807, 1175, 4525, 3496, 795, 5271, 2075, 2834, 1414, 3722, 1798, 4536, 395, 1877, 1480, 2871, 2886, 4306, 5092, 5168, 3408, 4890, 2002, 1674, 1374, 4248, 1439, 6126, 3632, 4134, 1416]
